월,리스팅 노출 수,새로운 리뷰,리뷰 응답률,광고 클릭 수,광고 노출 수,사진 조회 수,페이지 고유 방문자 수,예약 클릭 수,다이렉트 연결
2024-05,1455,,,,,263,209,,
2024-06,644,,,,,94,57,,
2024-07,693,,,,,120,55,,
2024-08,1714,,,,,233,258,,
2024-09,1887,,,,,68,278,,
2024-10,2251,,,,,243,298,,
2024-11,1959,,,,,178,384,,
2024-12,3917,,,,,364,999,,
2025-01,3357,,,,,310,712,,
2025-02,1688,,,,,356,230,,
2025-03,466,,,,,12,39,,
2025-04,1614,,,,,14,206,,
2025-05,1818,,,,,,254,,
2025-06,1197,,,,,2,186,,
2025-07,1069,,,,,15,101,,
2025-08,1200,,,,,13,107,,
2025-09,900,,,,,22,134,,
2025-10,1281,,,,,51,205,,
2025-11,2876,,,,,67,602,,
2025-12,2302,,,,,80,499,2,
2026-01,2165,,,,,41,370,75,18
2026-02,1910,,,,,,300,85,15
2026-03,1477,,,,,3,279,48,8
2026-04,1141,,,,,,270,35,22
